LookId,SellerName,HedgeAdvisorName,AbaMemberBit,CommitPeriodGrp,LoanAmt,BaseLoanAmt,NoteRate,PropTypeName,PropUsageTypeName,PropUnitsCnt,MtgTypeName,LoanPurposeTypeName,DocumentationTypeName,AusTypeName,CreditScoreNum,LtvRatio,CltvRatio,EscrowImpoundBit,AppraisalWaiverBit,PropStateCd,RefiTypeName,RefiProgTypeName,AmortTypeName,AmortTermMonthsGrp,UnderwritingProgName,FirstTimeHomeBuyerBit,HighBalBit,PriorYrHighBalBit,GseAffordableProgBit,CraEligBit,BorrowerIncomeTypeName,CensusTractIncomeTypeName,CensusTractMinorityTypeName,LqaYellowBit,AmiLlpaCapEligBit,EligBit,ExecTypeName,ExecInvestorName,ExecMethodName,ProdCd,SpecName,Cpn,BaseSrvRate,ExcessSrvRate,BuyUpRate,BuyDnRate,BreakevenPrice,LlpaPrice,SpecPayupPrice,FeeAmt,VlipBit,LipBit,LirBit,LadBit,LacsBit,MasBit,LqaYellowProb,LoanAgeDays,BaseSrvMult,ExcessSrvMult,BuyUpMult,BuyDnMult,TotalDebtExpenseRatio,TotalMonthlyVerifiedIncomeAmt,UnknownTotalMonthlyVerifiedIncomeAmtBit,BenchMarginPrice,MarginPrice,WinBit,uidentifier
1934536,inspirehomeloans,mct,0,7,600000,600000,7.5,pud,primaryresidence,1,conf,purchase,full,du,783,80,80,1,0,co,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,buyup,fgf30s,newprod,6.5,0.25,0.25,0.01,0,100.869487,-0.375,0.000122,320,0,0,0,0,0,0,0.0065,6,4.547,2.982,3.1,4.6,27.2,18618.45,0,-0.3241,0.010487,0,1
1934537,inspirehomeloans,mct,0,7,366175,366175,6.75,pud,primaryresidence,1,va,purchase,full,du,697,100,100,1,0,az,other,other,fixed,360,vafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,6.5,0.19,0,0,0,100.446123,0,0.046875,320,0,0,0,0,0,0,0,4,4.124,3.324,0,0,54.6,7031.76,0,-0.3241,-0.059877,0,1
1934538,inspirehomeloans,mct,0,7,319014,319014,7.125,pud,primaryresidence,1,conf,purchase,full,du,739,51.536,51.536,1,0,wa,other,other,fixed,360,fnmafixed30homeready,0,0,0,1,0,other,other,other,0,0,1,security,fglmc,buyup,fgf30s,newprod,6,0.25,0.25,0.135,0,100.164276,0,0.000122,320,0,0,0,0,0,0,0.0313,5,5.667,4.276,3.74,5.14,41.8,9076.81,0,-0.3241,0.979856,0,1
1934539,inspirehomeloans,mct,0,7,306829,301552,5.5,pud,primaryresidence,1,fha,purchase,full,du,776,96.5,96.5,1,0,tx,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.25,0,0,96.053826,0,0.001953,320,0,0,0,0,0,0,0,4,8.695,6.185,0,0,48,7950,0,-0.3241,0.920025,0,1
1934540,inspirehomeloans,mct,0,7,340990,340990,7,pud,primaryresidence,1,va,purchase,full,lp,692,100,100,1,0,nc,other,other,fixed,360,vafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,6.5,0.19,0.25,0,0,101.330639,0,0.046875,320,0,0,0,0,0,0,0,7,3.918,3.631,0,0,47.3,6114.47,0,-0.3241,0.000054,0,1
1934541,inspirehomeloans,mct,0,7,442320,434713,7.25,pud,primaryresidence,1,fha,purchase,full,du,725,96.5,96.5,1,0,ga,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,7,0.19,0,0,0,102.39495,0,0.164062,320,0,0,0,0,0,0,0,7,6.057,4.072,0,0,55.5,9583.34,0,-0.3241,0.20995,0,1
1934542,inspirehomeloans,mct,0,7,333831,328090,5.5,pud,primaryresidence,1,fha,purchase,full,du,668,96.5,96.5,1,0,tx,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.25,0,0,95.192807,0,0.001953,320,0,0,0,0,0,0,0,32,5.257,5.367,0,0,31.9,15362.67,0,-0.3241,0.14036,0,1
1934543,inspirehomeloans,mct,0,7,493472,477708,5.5,pud,primaryresidence,1,va,purchase,full,du,775,100,100,1,0,nv,other,other,fixed,360,vafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.25,0,0,94.88164,0,0.001953,320,0,0,0,0,0,0,0,7,5.523,3.925,0,0,51,9455,0,-0.3241,-0.06036,0,1
1934544,inspirehomeloans,mct,0,7,494861,486350,5.5,pud,primaryresidence,1,fha,purchase,full,du,636,96.5,96.5,1,0,nv,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.25,0,0,94.230789,0,0.001953,320,0,0,0,0,0,0,0,1,1.669,4.261,0,0,39.6,15028.42,0,-0.3241,-0.059794,0,1
1934545,inspirehomeloans,mct,0,7,166859,163990,5.5,pud,primaryresidence,1,fha,purchase,full,du,802,64.566,64.566,1,0,fl,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.25,0,0,95.573069,0,0.001953,320,0,0,0,0,0,0,0,4,7.466,5.204,0,0,30.3,4787.11,0,-0.3241,0.439936,0,1
1934546,inspirehomeloans,mct,0,7,291503,286490,5.5,pud,primaryresidence,1,fha,purchase,full,du,696,92.419,92.419,1,0,sc,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.25,0,0,95.157833,0,0.001953,320,0,0,0,0,0,0,0,1,5.184,5.283,0,0,45.2,4691.59,0,-0.3241,0.109833,0,1
